part_id,panel_id,presence_work,presence_school,educational_attainment,region_nuts1,occupation,primary_vaccination_cycle,indirect_contacts
187,187,No work,,Bachelor or above,South,Employed,Yes,3
188,188,No work,,Bachelor or above,North-West,Employed,Yes,2
189,189,,Remote attendance,Bachelor or above,Centre,Student,Yes,3
190,190,,In-person attendance,Lower Secondary or below,Centre,Student,No,12
191,191,,,Upper Secondary,South,Retired,Yes,1
192,192,,In-person attendance,Lower Secondary or below,North-West,Student,No,15
193,193,In-person work,,Bachelor or above,South,Employed,Yes,4
194,194,,No attendance,Lower Secondary or below,North-East,Student,No,0
195,195,,,Lower Secondary or below,North-East,Home/family care,No,2
196,196,No work,,Upper Secondary,Centre,Employed,Yes,0
197,197,Remote work,,Bachelor or above,Centre,Employed,Yes,0
198,198,,Remote attendance,Bachelor or above,North-West,Student,Yes,4
199,199,,In-person attendance,Lower Secondary or below,South,Student,Yes,15
200,200,In-person work,,Upper Secondary,South,Employed,Yes,2
201,201,,,Upper Secondary,Centre,Retired,Yes,0
202,202,,In-person attendance,Lower Secondary or below,Centre,Student,No,2
203,203,,,Upper Secondary,North-West,Home/family care,Yes,0
204,204,In-person work,Remote attendance,Bachelor or above,North-West,Student,Yes,7
205,205,In-person work,,Upper Secondary,South,Employed,Yes,2
206,206,,In-person attendance,Lower Secondary or below,North-West,Student,No,23
207,207,,,Upper Secondary,Islands,Inactive,Yes,0
208,208,In-person work,,Bachelor or above,Centre,Employed,No,1
209,209,,,Lower Secondary or below,North-East,Home/family care,No,0
210,210,Remote work,,Upper Secondary,North-East,Employed,Yes,1
211,211,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,29
212,212,In-person work,,Upper Secondary,North-West,Employed,Yes,0
213,213,In-person work,,Bachelor or above,Centre,Employed,Yes,0
214,214,In-person work,,Bachelor or above,South,Employed,Yes,0
215,215,In-person work,,Upper Secondary,North-West,Employed,Yes,4
216,216,In-person work,,Upper Secondary,South,Employed,Yes,0
217,217,In-person work,,Lower Secondary or below,North-West,Employed,Yes,10
218,218,,No attendance,Lower Secondary or below,Centre,Student,No,1
219,219,In-person work,,Bachelor or above,North-West,Employed,Yes,20
220,220,No work,,Upper Secondary,South,Employed,No,2
221,221,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,2
222,222,Remote work,,Bachelor or above,Centre,Employed,Yes,1
223,223,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,6
224,224,,,Bachelor or above,Islands,Retired,Yes,1
225,225,,,Lower Secondary or below,Centre,Home/family care,No,3
226,226,In-person work,,Upper Secondary,Centre,Employed,Yes,3
227,227,In-person work,,Upper Secondary,South,Employed,Yes,8
228,228,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,2
229,229,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,20
230,230,,In-person attendance,Lower Secondary or below,Islands,Student,Yes,2
231,231,No work,,Bachelor or above,South,Employed,Yes,0
232,232,,,Lower Secondary or below,North-East,Inactive,No,2
233,233,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,50
234,234,In-person work,,Lower Secondary or below,North-East,Employed,No,0
235,235,In-person work,,Bachelor or above,North-West,Employed,Yes,3
236,236,,,Upper Secondary,South,Inactive,Yes,1
237,237,In-person work,,Bachelor or above,South,Employed,Yes,3
238,238,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,5
239,239,No work,In-person attendance,Bachelor or above,Islands,Student,Yes,2
240,240,In-person work,,Upper Secondary,North-West,Employed,Yes,0
241,241,,,Upper Secondary,North-West,Inactive,Yes,0
242,242,,,Lower Secondary or below,North-East,Retired,Yes,30
243,243,,In-person attendance,Lower Secondary or below,South,Student,Yes,4
244,244,,,Lower Secondary or below,South,Employed,No,3
245,245,In-person work,,Upper Secondary,South,Employed,Yes,10
246,246,In-person work,,Upper Secondary,North-East,Employed,Yes,0
247,247,Remote work,,Bachelor or above,North-East,Employed,Yes,8
248,248,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,5
249,249,,In-person attendance,Lower Secondary or below,South,Student,No,10
250,250,No work,,Bachelor or above,North-East,Employed,Yes,10
251,251,Remote work,,Bachelor or above,North-West,Employed,Yes,0
252,252,No work,,Bachelor or above,South,Employed,Yes,6
253,253,In-person work,,Upper Secondary,North-West,Employed,Yes,5
254,254,,,Upper Secondary,North-West,Home/family care,Yes,2
255,255,,,Lower Secondary or below,South,Home/family care,Yes,0
256,256,Remote work,,Bachelor or above,South,Employed,Yes,3
257,257,,In-person attendance,Lower Secondary or below,North-West,Student,No,30
258,258,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,30
259,259,,,Upper Secondary,North-West,Retired,Yes,4
260,260,,,Upper Secondary,Centre,Inactive,Yes,2
261,261,No work,,Bachelor or above,South,Employed,Yes,2
262,262,Remote work,,Upper Secondary,North-West,Employed,Yes,1
263,263,,,Lower Secondary or below,South,Inactive,Yes,0
264,264,,,Upper Secondary,North-West,Retired,Yes,0
265,265,Remote work,,Upper Secondary,South,Employed,Yes,5
266,266,,,Lower Secondary or below,North-West,Employed,No,2
267,267,,,Bachelor or above,North-West,Retired,No,1
268,268,,,Bachelor or above,Islands,Home/family care,Yes,0
269,269,,,Bachelor or above,North-East,Inactive,Yes,0
270,270,Remote work,,Upper Secondary,North-West,Employed,Yes,0
271,271,,,Bachelor or above,Islands,Retired,Yes,0
272,272,In-person work,,Bachelor or above,North-East,Employed,Yes,0
273,273,No work,,Bachelor or above,South,Employed,Yes,3
274,274,,,Upper Secondary,North-West,Home/family care,Yes,2
275,275,In-person work,,Bachelor or above,South,Employed,Yes,5
276,276,,,Upper Secondary,Islands,Inactive,No,0
277,277,Remote work,,Bachelor or above,South,Employed,Yes,1
278,278,,In-person attendance,Lower Secondary or below,South,Student,Yes,0
279,279,,,Upper Secondary,South,Inactive,Yes,2
280,280,,In-person attendance,Lower Secondary or below,South,Student,Yes,4
281,281,,,Lower Secondary or below,North-West,Retired,Yes,0
282,282,,In-person attendance,Lower Secondary or below,Centre,Student,No,9
283,283,,,Bachelor or above,Islands,Retired,Yes,0
284,284,In-person work,,Upper Secondary,Islands,Employed,Yes,1
285,285,In-person work,,Upper Secondary,North-West,Employed,Yes,0
286,286,,In-person attendance,Lower Secondary or below,North-East,Student,Yes,7
287,287,In-person work,,Bachelor or above,Centre,Employed,Yes,10
288,288,In-person work,,Upper Secondary,Centre,Employed,Yes,4
289,289,,No attendance,Upper Secondary,South,Student,Yes,3
290,290,,No attendance,Lower Secondary or below,North-West,Student,No,1
291,291,,,Lower Secondary or below,North-West,Retired,Yes,2
292,292,No work,,Upper Secondary,North-East,Employed,Yes,7
293,293,,In-person attendance,Lower Secondary or below,North-East,Student,No,20
294,294,,Remote attendance,Bachelor or above,North-West,Student,Yes,3
295,295,,In-person attendance,Upper Secondary,North-West,Student,Yes,2
296,296,In-person work,,Upper Secondary,South,Employed,Yes,0
297,297,In-person work,,Upper Secondary,South,Employed,Yes,5
298,298,In-person work,,Upper Secondary,North-West,Employed,Yes,50
299,299,Remote work,,Upper Secondary,North-West,Employed,Yes,2
300,300,In-person work,,Upper Secondary,North-West,Employed,Yes,20
301,301,In-person work,,Upper Secondary,Centre,Employed,Yes,30
302,302,,,Upper Secondary,Centre,Home/family care,Yes,0
303,303,In-person work,,Bachelor or above,North-East,Employed,Yes,10
304,304,In-person work,,Upper Secondary,North-East,Employed,Yes,2
305,305,,,Upper Secondary,Centre,Home/family care,Yes,0
306,306,In-person work,,Bachelor or above,North-West,Employed,Yes,6
307,307,In-person work,,Bachelor or above,North-East,Employed,Yes,6
308,308,In-person work,,Bachelor or above,North-East,Employed,Yes,5
309,309,Remote work,,Upper Secondary,North-East,Employed,Yes,3
310,310,In-person work,,Lower Secondary or below,Centre,Employed,Yes,2
311,311,In-person work,,Bachelor or above,North-West,Employed,Yes,8
312,312,In-person work,,Upper Secondary,Centre,Employed,No,2
313,313,In-person work,,Bachelor or above,North-West,Employed,Yes,50
314,314,,,Bachelor or above,North-East,Inactive,Yes,3
315,315,In-person work,,Upper Secondary,North-East,Employed,Yes,10
316,316,In-person work,,Upper Secondary,Centre,Employed,Yes,4
317,317,In-person work,,Bachelor or above,North-East,Employed,Yes,5
318,318,,,Lower Secondary or below,North-East,Home/family care,Yes,0
319,319,In-person work,,Upper Secondary,North-West,Employed,Yes,10
320,320,In-person work,,Upper Secondary,North-West,Employed,Yes,1
321,321,In-person work,,Bachelor or above,North-East,Employed,Yes,4
322,322,Remote work,,Lower Secondary or below,Centre,Employed,Yes,1
323,323,,,Lower Secondary or below,North-East,Retired,Yes,5
324,324,No work,,Bachelor or above,North-East,Employed,No,5
325,325,In-person work,,Bachelor or above,Centre,Employed,Yes,8
326,326,In-person work,,Upper Secondary,Centre,Employed,Yes,6
327,327,,,Upper Secondary,Centre,Inactive,Yes,3
328,328,In-person work,,Upper Secondary,South,Employed,No,2
329,329,No work,,Bachelor or above,North-East,Employed,Yes,2
330,330,In-person work,,Bachelor or above,Centre,Employed,Yes,20
331,331,In-person work,,Upper Secondary,North-East,Employed,Yes,2
332,332,In-person work,,Bachelor or above,North-West,Employed,Yes,21
333,333,In-person work,,Upper Secondary,North-East,Employed,Yes,5
334,334,In-person work,,Upper Secondary,North-West,Employed,Yes,10
335,335,No work,,Upper Secondary,Centre,Employed,Yes,0
336,336,,,Upper Secondary,North-East,Home/family care,Yes,3
337,337,Remote work,,Upper Secondary,South,Employed,Yes,3
338,338,,,Lower Secondary or below,Centre,Employed,No,4
339,339,,,Upper Secondary,South,Inactive,Yes,3
340,340,,,Lower Secondary or below,North-West,Employed,No,5
341,341,In-person work,,Upper Secondary,North-East,Employed,Yes,0
342,342,In-person work,,Upper Secondary,North-East,Employed,Yes,1
343,343,,,Lower Secondary or below,South,Inactive,No,0
344,344,Remote work,,Upper Secondary,Centre,Employed,Yes,2
345,345,In-person work,,Lower Secondary or below,Centre,Employed,Yes,10
346,346,In-person work,,Upper Secondary,Centre,Employed,Yes,0
347,347,In-person work,,Bachelor or above,North-East,Employed,No,6
348,348,In-person work,,Bachelor or above,Centre,Employed,Yes,6
349,349,,In-person attendance,Lower Secondary or below,North-East,Student,No,10
350,350,No work,,Bachelor or above,Centre,Employed,Yes,0
351,351,In-person work,,Upper Secondary,North-West,Employed,Yes,1
352,352,,,Lower Secondary or below,North-East,Inactive,Yes,6
353,353,In-person work,,Upper Secondary,Centre,Employed,Yes,4
354,354,In-person work,,Bachelor or above,North-West,Employed,Yes,100
355,355,,In-person attendance,Lower Secondary or below,Centre,Student,No,30
356,356,In-person work,,Upper Secondary,North-East,Employed,Yes,8
357,357,,,Lower Secondary or below,Centre,Employed,No,0
358,358,Remote work,,Upper Secondary,Centre,Employed,Yes,4
359,359,,,Upper Secondary,South,Home/family care,Yes,2
360,360,,In-person attendance,Lower Secondary or below,South,Student,No,11
361,361,,In-person attendance,Lower Secondary or below,Centre,Student,No,20
362,362,In-person work,,Bachelor or above,North-West,Employed,Yes,20
363,363,In-person work,,Lower Secondary or below,North-West,Employed,Yes,1
364,364,In-person work,,Lower Secondary or below,Centre,Employed,Yes,5
365,365,,In-person attendance,Lower Secondary or below,Centre,Student,No,10
366,366,,In-person attendance,Lower Secondary or below,North-West,Student,No,8
367,367,,,Lower Secondary or below,Centre,Student,No,3
368,368,In-person work,,Bachelor or above,North-East,Employed,Yes,15
369,369,In-person work,,Upper Secondary,Islands,Employed,Yes,5
370,370,In-person work,,Upper Secondary,North-East,Employed,Yes,3
371,371,In-person work,,Bachelor or above,North-East,Employed,Yes,4
372,372,In-person work,,Upper Secondary,Centre,Employed,No,0
373,373,In-person work,,Bachelor or above,North-West,Employed,Yes,2
374,374,,In-person attendance,Lower Secondary or below,Centre,Student,No,10
375,375,,In-person attendance,Lower Secondary or below,North-East,Student,No,30
376,376,In-person work,,Upper Secondary,North-East,Employed,Yes,4
377,377,In-person work,,Lower Secondary or below,South,Employed,No,4
378,378,,,Lower Secondary or below,North-East,Employed,No,3
379,379,In-person work,,Upper Secondary,South,Employed,Yes,2
380,380,In-person work,,Lower Secondary or below,Centre,Employed,Yes,5
381,381,,,Bachelor or above,North-East,Home/family care,Yes,0
382,382,No work,,Bachelor or above,Centre,Employed,Yes,5
383,383,In-person work,,Upper Secondary,Centre,Employed,Yes,3
384,384,,In-person attendance,Lower Secondary or below,North-East,Student,No,4
385,385,,In-person attendance,Lower Secondary or below,North-West,Student,No,3
386,386,,In-person attendance,Lower Secondary or below,North-East,Student,No,10
387,387,,In-person attendance,Lower Secondary or below,Islands,Student,Yes,10
388,388,,In-person attendance,Lower Secondary or below,South,Student,Yes,0
389,389,,No attendance,Lower Secondary or below,Islands,Student,No,18
390,390,,In-person attendance,Lower Secondary or below,Centre,Student,No,30
391,391,,In-person attendance,Lower Secondary or below,South,Student,Yes,20
392,392,,In-person attendance,Lower Secondary or below,Centre,Student,No,20
393,393,,In-person attendance,Lower Secondary or below,South,Student,No,13
394,394,,In-person attendance,Lower Secondary or below,South,Student,Yes,8
395,395,In-person work,,Bachelor or above,Centre,Employed,Yes,2
396,396,,In-person attendance,Lower Secondary or below,North-East,Student,Yes,35
397,397,In-person work,In-person attendance,Upper Secondary,North-East,Student,Yes,20
398,398,,,Bachelor or above,South,Retired,Yes,2
399,399,In-person work,,Upper Secondary,South,Employed,Yes,1
400,400,In-person work,,Lower Secondary or below,North-East,Employed,No,0
401,401,,,Bachelor or above,North-East,Inactive,Yes,20
402,402,,,Upper Secondary,South,Home/family care,Yes,2
403,403,In-person work,,Bachelor or above,South,Employed,Yes,5
404,404,In-person work,,Upper Secondary,North-West,Employed,Yes,3
405,405,In-person work,,Upper Secondary,Islands,Employed,Yes,2
406,406,In-person work,,Upper Secondary,North-West,Employed,Yes,4
407,407,In-person work,,Bachelor or above,South,Employed,Yes,2
408,408,,No attendance,Upper Secondary,South,Student,Yes,5
409,409,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,23
410,410,In-person work,,Upper Secondary,South,Employed,Yes,5
411,411,,In-person attendance,Lower Secondary or below,North-East,Student,No,8
412,412,Remote work,,Upper Secondary,North-West,Employed,Yes,0
413,413,,,Upper Secondary,Islands,Home/family care,Yes,0
414,414,In-person work,,Bachelor or above,South,Employed,Yes,1
415,415,,Remote attendance,Bachelor or above,Centre,Student,Yes,2
416,416,In-person work,,Bachelor or above,North-East,Employed,Yes,8
417,417,,,Lower Secondary or below,North-West,Home/family care,No,0
418,418,,,Lower Secondary or below,Centre,Inactive,No,2
419,419,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,6
420,420,In-person work,,Upper Secondary,North-West,Employed,Yes,5
421,421,In-person work,,Bachelor or above,South,Employed,Yes,5
422,422,,No attendance,Lower Secondary or below,Centre,Student,No,5
423,423,In-person work,,Bachelor or above,North-East,Employed,Yes,6
424,424,In-person work,,Upper Secondary,Islands,Employed,Yes,0
425,425,In-person work,,Bachelor or above,Islands,Employed,Yes,3
426,426,In-person work,,Upper Secondary,North-West,Employed,No,1
427,427,,,Bachelor or above,South,Inactive,Yes,1
428,428,No work,,Upper Secondary,North-East,Employed,Yes,20
429,429,,,Upper Secondary,North-East,Retired,Yes,0
430,430,In-person work,,Upper Secondary,South,Employed,Yes,2
431,431,,In-person attendance,Lower Secondary or below,Islands,Student,Yes,8
432,432,,,Lower Secondary or below,North-West,Employed,No,12
433,433,,Remote attendance,Bachelor or above,Centre,Student,Yes,5
434,434,,,Bachelor or above,Centre,Inactive,Yes,5
435,435,In-person work,,Bachelor or above,Centre,Employed,Yes,15
436,436,,In-person attendance,Lower Secondary or below,South,Student,Yes,3
437,437,,In-person attendance,Lower Secondary or below,North-West,Student,No,10
438,438,In-person work,,Upper Secondary,North-West,Employed,Yes,10
439,439,,No attendance,Upper Secondary,South,Student,Yes,3
440,440,,No attendance,Lower Secondary or below,North-West,Student,No,2
441,441,,In-person attendance,Lower Secondary or below,Centre,Student,Yes,20
442,442,,,Upper Secondary,Centre,Retired,Yes,2
443,443,In-person work,,Upper Secondary,Centre,Employed,Yes,5
444,444,,In-person attendance,Lower Secondary or below,North-West,Student,No,1
445,445,,,Lower Secondary or below,North-East,Employed,No,2
446,446,,In-person attendance,Lower Secondary or below,North-West,Student,Yes,0
